name,longitude,latitude,LSOA11CD,LSOA11NM
,-0.1276082,51.5172384,E01000855,Camden 028A
,-0.1290975,51.5173841,E01000855,Camden 028A
,-0.1295182,51.517456,E01000855,Camden 028A
,-0.1282245,51.5177322,E01000855,Camden 028A
sussex hotel,-0.155832,51.5145269,E01004714,Westminster 011B
Chase Lodge Hotel,-0.3123367,51.413123,E01003839,Richmond upon Thames 022F
Premier Inn,-0.1357821,51.5656761,E01002770,Islington 004B
,-0.1412448,51.5191666,E01004765,Westminster 013D
Travelodge,-0.1529261,51.4428417,E01004545,Wandsworth 027B
Premier Inn Entrance Door,-0.2808432,51.5628081,E01000578,Brent 012D
Gateway Hotel,-0.1480326,51.4509716,E01004476,Wandsworth 021C
MAX Serviced Apartments,-0.0380281,51.5128134,E01004286,Tower Hamlets 019C
,-0.0801175,51.4903367,E01003980,Southwark 013A
Wardonia Hotel,-0.1229957,51.5284767,E01000941,Camden 025C
King's Cross,-0.1225588,51.5284745,E01000941,Camden 025C
The Globe,-0.123562,51.5288049,E01000941,Camden 025C
The Apollo,-0.1230202,51.5286881,E01000941,Camden 025C
Princess,-0.1231516,51.5288283,E01000941,Camden 025C
Crowne Plaza,-0.1787792,51.4692083,E01033133,Wandsworth 004G
Hotel Makedonia,-0.1182029,51.5457401,E01002713,Islington 015C
,-0.0825801,51.5046878,E01004027,Southwark 003E
SO King's Cross,-0.1179668,51.5306396,E01002728,Islington 021D
My Hotel,-0.4147387,51.448015,E01033000,Hounslow 025F
,-0.1396375,51.5148744,E01033595,Westminster 013E
,-0.1398714,51.5148098,E01033595,Westminster 013E
,-0.1920062,51.4988391,E01002816,Kensington and Chelsea 011C
,-0.2768798,51.6079973,E01002119,Harrow 007A
Pasha,-0.0943965,51.4795106,E01003924,Southwark 021E
,-0.1249174,51.5299766,E01000956,Camden 022E
Ivor Novello,-0.1189624,51.5124953,E01004735,Westminster 018B
,-0.0412799,51.5119981,E01032769,Tower Hamlets 025F
,-0.0405864,51.5122377,E01032769,Tower Hamlets 025F
Kings cross,-0.1175506,51.5312377,E01002711,Islington 021B
King Paget Hotel,-0.4688639,51.5051411,E01002529,Hillingdon 029C
,-0.1023619,51.5202376,E01002724,Islington 022D
Park Hotel,0.0650918,51.5676856,E01003788,Redbridge 029D
Premier Inn,-0.0910823,51.5034171,E01003939,Southwark 002E
Premier Inn,0.1867056,51.5776642,E01032741,Havering 013E
Hotel The Grand at Trafalgar Square,-0.1259733,51.5069341,E01004736,Westminster 018C
Club Quarters Hotel,-0.1258069,51.5068835,E01004736,Westminster 018C
,-0.1906734,51.4936272,E01002850,Kensington and Chelsea 013D
,-0.1910872,51.4939972,E01002850,Kensington and Chelsea 013D
Castle Hotel,-0.0988075,51.4926541,E01032719,Southwark 014G
Travelodge Wembley High Road,-0.2960817,51.5519842,E01000630,Brent 026E
hub by Premier Inn Kings Cross,-0.121831,51.533703,E01002711,Islington 021B
,0.0195354,51.5076106,E01033574,Newham 034F
hotel air bnb,-0.2637876,51.5607274,E01000626,Brent 010E
hub by Premier Inn London Westminster Abbey,-0.1314606,51.4995883,E01004731,Westminster 020A
,-0.1571766,51.4928529,E01002902,Kensington and Chelsea 018D
Premier Inn London County Hall,-0.1182526,51.5024782,E01003013,Lambeth 036A
Eaton Town House,-0.1409773,51.4940168,E01004749,Westminster 022B
Corbigoe Hotel,-0.1364419,51.489739,E01004742,Westminster 022A
Best Western Corona Hotel,-0.1370186,51.4899979,E01004742,Westminster 022A
Melbourne House Hotel,-0.1372198,51.4900931,E01004740,Westminster 021A
Limegrove Hotel,-0.1436545,51.4912387,E01004749,Westminster 022B
Vegas Hotel,-0.1433105,51.4911088,E01004749,Westminster 022B
Enrico Hotel,-0.1427281,51.4915144,E01004749,Westminster 022B
Surtees Hotel,-0.1427969,51.4912532,E01004749,Westminster 022B
Golden Star Hotel,-0.1424201,51.4916052,E01004749,Westminster 022B
Tudor Inn Hotel,-0.1423529,51.4916317,E01004749,Westminster 022B
Blades Hotel,-0.1366874,51.4894859,E01004742,Westminster 022A
Holiday Inn Express,-0.1372077,51.4897096,E01004742,Westminster 022A
St. George's Pimlico,-0.1393338,51.48851,E01004752,Westminster 022D
Dolphin House Serviced Apartments,-0.1369041,51.4872103,E01004739,Westminster 024E
Lynton B&B Hotel,-0.1493034,51.4939243,E01004750,Westminster 023E
The Lord Milner,-0.1492439,51.4939709,E01004750,Westminster 023E
easyHotel Croydon Town Centre,-0.0903583,51.3749114,E01001045,Croydon 027C
,-0.1011003,51.5055759,E01003934,Southwark 002C
Bromley Court Hotel,0.0021527,51.4168577,E01000672,Bromley 011A
,0.0066867,51.5424071,E01003618,Newham 012C
QMH,0.1849066,51.5759212,E01032741,Havering 013E
Scimitar House,0.1856593,51.5761903,E01032741,Havering 013E
Travelodge,0.1804964,51.5802635,E01002353,Havering 013B
